time,open,high,low,close,volume
1633071600,54.18054309,62.15776532,50.72221055,60.12887229,76987677.83692347
1635753600,60.47932126,77.92775985,51.42309743,71.76731682,141950563.50910556
1638345600,71.10331513,75.45620486,65.68065247,71.02953644,64180250.91376859
1641196800,71.65664741,85.74820526,62.71109668,64.75843046,94898038.70545226
1643702400,66.06798387,70.53154209,54.04220794,61.27243219,98851006.60306299
1646121600,61.25398406,65.27487295,47.54976776,63.00620772,114729287.36541432
1648796400,62.91398644,72.65264903,59.31731968,67.32220673,57685157.61188565
1651474800,67.02709569,80.22409081,63.11687621,74.28498567,120744650.19545564
1654066800,74.28498567,80.13186953,61.65053952,62.67420688,90451818.64614138
1656658800,62.66498281,73.76853674,61.19865351,69.66465156,49522123.20328377
1659337200,69.66465156,73.03998043,59.83376124,59.94443065,38627481.90102294
1662015600,59.73231682,59.73231682,43.38132427,44.93987855,62395276.16565993
1664780400,44.41882403,45.09665813,39.51721128,43.24298913,73803379.51378973
1667289600,43.66260199,54.41109859,42.4406569,47.56821312,66297262.84671952
1669881600,48.4258759,49.7446543,41.69365615,43.69487976,55635805.0920949
1672646400,44.26665648,49.735433,43.65337792,47.82643436,71134017.93565956
1675238400,47.92787878,51.63521218,43.63954551,45.61309969,62000803.90620908
1677657600,45.69148764,48.69332121,37.29926919,41.67982374,72772473.73438853
1680505200,41.68443577,42.42221246,34.85077068,38.88087994,66507371.69025059
1683010800,38.88087994,39.26821503,33.37521362,34.38043561,69026508.053088
1685602800,34.58332538,41.91499128,34.44499023,39.48954647,58892923.19102209
1688367600,40.20887779,49.32043309,39.56332607,47.95554452,57421481.40663006
1690873200,47.7710992,47.7710992,38.21687917,38.47510318,39891136.40868319
1693551600,38.08776809,41.74899039,35.00754658,40.9835452,60075939.84880061
1696230000,41.26021457,43.66721033,33.75332372,35.33032613,50023416.81261761
1698825600,35.45943721,39.19443543,30.20277083,31.51232424,220883973.48052886
1701417600,31.50310386,32.27777035,29.1329933,30.02754957,91740869.4247061
1704182400,30.09210511,31.19877244,23.34143815,25.19510531,128718261.66890118
1706774400,33.19999236,36.47387957,28.77332763,34.82310125,176021184.96391118
1709280000,34.85077068,38.17076807,31.01432712,37.42377101,88428527.09620322
1712041200,37.62665709,43.244999,33.110001,34.93,114444418.78384535
1714633200,35,38.189999,30.799999,35.125,109394334
1717398000,35.259998,37.395,30.559999,32.785,84986649
1719817200,33.775002,35.919998,29.905001,30.33,100612153
1722495600,30,30.205,26,29.379999,90515618
1725260400,29.379999,29.82,23.13,27.92,151742220
1727766000,27.925,28.26,22.235,22.925,143167512
1730448000,22.93,24.875,21.35,23.855,189453570
1733126400,23.645,26.145,22.575,23.98,115890497
1735804800,24.24,26.68,22.17,25.125,140838188
1738569600,23.52,24.8,20.64,22.7,202967700
1740988800,22.7,25.345,18.54,19.19,188469372
1743490800,19.26,19.312,16.12,16.435,189520213
1746169200,16.565,19.785,16.445,17.39,123749999
1748847600,17.23,17.925,15.94,17.37,90266706
1751353200,17.13,21.7,17.1,18.77,144642384
1754031600,18.675,20.92,17.8,19.71,63004031
1756710000,19.76,20.1,18.325,19.305,66982176
1759302000,19.255,33.44,19.105,32.97,172629780
1762156800,32.97,36.54,30.5,31.53,90364887
1764576000,32.29,35.12,29.57,30.7,67417605
1767340800,30.75,34.1,29.15,29.76,74861900
1770019200,29.34,29.92,20.9,24.87,159863725
1772438400,23.9,24,19.86,20.93,82155127
1775026800,21.57,24.35,20.88,21.79,65867903
1777878000,21.7,22.93,21.43,22.46,24539687
