time,open,high,low,close,volume
1635145200,54.18054309,62.15776532,50.72221055,60.12887229,76987677.83692347
1635753600,60.47932126,63.07076234,51.42309743,54.41109859,50913188.46315542
1636358400,54.44798839,71.73042702,52.16087781,70.08887276,26098880.46371827
1636963200,71.01109477,77.92775985,68.74242955,70.91887441,32336099.85083743
1641196800,71.65664741,80.01198343,71.54598538,75.78820478,14029888.52976953
1641801600,76.54442683,85.74820526,72.9662082,83.12909106,24130341.45650026
1646640000,49.79998854,55.66532145,47.54976776,51.5522122,32885721.3026178
1653894000,78.38887085,80.22409081,71.24165027,75.93575661,75808474.79448034
1656918000,64.60165457,73.68554044,61.19865351,71.61054092,13848292.34340221
1666594800,42.36226895,42.83721329,39.51721128,41.61988023,24076923.73336438
1668412800,53.50732102,54.41109859,46.12032088,46.7289874,13871874.51750365
1671436800,43.6994881,44.0268806,41.69365615,43.19226692,11501267.46595432
1675065600,46.93187717,51.63521218,46.27710046,50.42709951,19303996.00850992
1684134000,33.37521362,36.56610454,33.37521362,35.75454733,12906712.12672532
1690182000,47.34687799,49.32043309,45.90821074,48.08465468,11812621.9954347
1693810800,37.46988119,38.04165791,35.00754658,35.50554739,12669764.84328324
1697439600,42.6804337,43.66721033,39.18521505,39.37888075,7969037.73745326
1705305600,26.32943746,26.47699298,23.34143815,23.79332694,33121637.3810033
1707724800,34.12221437,36.47387957,33.76254871,35.59776774,25007313.58602036
1712559600,38.22610324,43.244999,38.17076807,40.845001,29067556.5982632
1730707200,22.675,23.985,21.35,22.835,39406330
1736236800,24.065,26.68,23.45,23.5,33257860
1739174400,21,23.38,20.64,23.125,56738168
1741593600,22.98,25.345,21.68,22.47,45138119
1745823600,18.09,18.545,16.12,17.565,57526677
1747033200,18.3,19.785,18.285,18.87,35501840
1750662000,16.205,17.915,15.94,17.915,25417534
1753686000,21.21,21.7,18.135,18.255,24374493
1762761600,34.3,36.54,33.14,33.28,25490505
1765785600,32.9,33.2,29.57,29.82,19515834
1770019200,29.34,29.92,20.9,22.76,69912818
1774854000,20.17,22.16,19.86,21.97,13046112
1777878000,21.7,22.93,21.43,22.08,13677305
1778482800,22.03,22.52,21.43,22.46,10862382
